Head,Relation,Tail,Head_Name,Tail_Name
C0004030,causative_agent_of,C0016832,aspergillose,Kingdom Fungi (organism)
C0004030,pathological_process_of,C0745283,aspergillose,Infectious process (qualifier value)
C0004030,has_nichd_parent,C0004031,aspergillose,allergic lung reaction to the fungus aspergillus
C0004030,mapped_to,C2350530,aspergillose,Bronchopulmonary Aspergillose
C0004031,inverse_isa,C0004030,allergic lung reaction to the fungus aspergillus,aspergillose
C0004031,nichd_parent_of,C0004030,allergic lung reaction to the fungus aspergillus,aspergillose
C0004031,classifies,C0026946,allergic lung reaction to the fungus aspergillus,Mycotic disease
C0004031,causative_agent_of,C0004034,allergic lung reaction to the fungus aspergillus,aspergillus fungus
C0004031,causative_agent_of,C0016832,allergic lung reaction to the fungus aspergillus,Kingdom Fungi (organism)
C0004031,associated_morphology_of,C0021368,allergic lung reaction to the fungus aspergillus,INFLAMM
C0004031,finding_site_of,C0024109,allergic lung reaction to the fungus aspergillus,"Structure of lungs, unspecified"
C0004031,finding_site_of,C0458827,allergic lung reaction to the fungus aspergillus,Airway structure (body structure)
C0004031,pathological_process_of,C0745283,allergic lung reaction to the fungus aspergillus,Infectious process (qualifier value)
C0004034,associated_with,C0004030,aspergillus fungus,aspergillose
C0004034,associated_with,C2350530,aspergillus fungus,Bronchopulmonary Aspergillose
C0004034,isa,C0446094,aspergillus fungus,Aspergillus notatum (organism)
C0004034,has_causative_agent,C0004030,aspergillus fungus,aspergillose
C0004034,has_causative_agent,C0004031,aspergillus fungus,allergic lung reaction to the fungus aspergillus
C0004034,has_causative_agent,C0276651,aspergillus fungus,aspergilloma (diagnosis)
C0004048,process_includes_biological_process,C0035203,inspir,Inhaling and exhaling (observable entity)
C0004048,inverse_isa,C0035203,inspir,Inhaling and exhaling (observable entity)
C0004048,isa,C0035203,inspir,Inhaling and exhaling (observable entity)
C0004063,inverse_isa,C3263723,[X]Assault by unspecified means (event),injury from an external force
C0004096,co-occurs_with,C0006267,asthma (diagnosis),bronchiectasis (diagnosis)
C0004096,clinically_associated_with,C0006277,asthma (diagnosis),Bronchitis: [unspecified (& chest infection)] or [recurrent wheezy] (disorder)
C0004096,clinically_associated_with,C0008031,asthma (diagnosis),thoracodynia
C0004096,clinically_associated_with,C0015967,asthma (diagnosis),rndx hyperthermia
C0004096,clinically_associated_with,C0018802,asthma (diagnosis),congestive heart failure (diagnosis)
C0004096,clinically_associated_with,C0021932,asthma (diagnosis),Tracheal intubation (procedure)
C0004096,clinically_associated_with,C0024117,asthma (diagnosis),Chronic obstructive bronchopneumopathy
C0004096,co-occurs_with,C0024117,asthma (diagnosis),Chronic obstructive bronchopneumopathy
C0004096,ddx,C0024117,asthma (diagnosis),Chronic obstructive bronchopneumopathy
C0004096,clinically_associated_with,C0026266,asthma (diagnosis),mitral regurgitation (diagnosis)
C0004096,clinically_associated_with,C0027051,asthma (diagnosis),mies
C0004096,clinically_associated_with,C0027543,asthma (diagnosis),avascular necrosis (diagnosis)
C0004096,clinically_associated_with,C0032285,asthma (diagnosis),pneumonia (diagnosis)
C0004096,co-occurs_with,C0032285,asthma (diagnosis),pneumonia (diagnosis)
C0004096,clinically_associated_with,C0032310,asthma (diagnosis),Viral pneumonia (& chest infection) (disorder)
C0004096,ddx,C0034065,asthma (diagnosis),Blood clots in the lung
C0004096,co-occurs_with,C0034067,asthma (diagnosis),Emphysema (lung)(pulmonary) NOS
C0004096,clinically_associated_with,C0149783,asthma (diagnosis),Administration of steroid (procedure)
C0004096,co-occurs_with,C0149783,asthma (diagnosis),Administration of steroid (procedure)
C0004096,clinically_associated_with,C0162316,asthma (diagnosis),Iron deficiency anaemia syndrome (disorder)
C0004096,co-occurs_with,C0264490,asthma (diagnosis),acute respiratory failure (diagnosis)
C0004096,clinically_associated_with,C0278061,asthma (diagnosis),Altered mental status (finding)
C0004096,clinically_associated_with,C0349790,asthma (diagnosis),asthma with acute exacerbation (diagnosis)
C0004096,clinically_associated_with,C0376358,asthma (diagnosis),malignant tumor of prostate gland
C0004096,clinically_associated_with,C0476273,asthma (diagnosis),distressed respirations (diagnosis)
C0004096,clinically_associated_with,C0740766,asthma (diagnosis),Acute Pneumonia
C0004096,clinically_associated_with,C0746105,asthma (diagnosis),chronic interstitial lung disease (diagnosis)
C0004096,clinically_associated_with,C3489393,asthma (diagnosis),hiatal hernia (diagnosis)
C0004096,co-occurs_with,C3714497,asthma (diagnosis),reactive airway disease (diagnosis)
C0004096,mapped_to,C0006266,asthma (diagnosis),Bronchospasm (disorder)
C0004096,mapped_from,C0006266,asthma (diagnosis),Bronchospasm (disorder)
C0004096,mapped_to,C0043144,asthma (diagnosis),reported wheezing
C0004096,associated_with,C0006266,asthma (diagnosis),Bronchospasm (disorder)
C0004096,associated_with,C3714497,asthma (diagnosis),reactive airway disease (diagnosis)
C0004096,location_of,C0006255,asthma (diagnosis),Bronchial trunk
C0004096,associated_with,C0043144,asthma (diagnosis),reported wheezing
C0004096,mapped_to,C0349790,asthma (diagnosis),asthma with acute exacerbation (diagnosis)
C0004096,classified_as,C0349790,asthma (diagnosis),asthma with acute exacerbation (diagnosis)
C0004096,isa,C0349790,asthma (diagnosis),asthma with acute exacerbation (diagnosis)
C0004096,related_to,C0008677,asthma (diagnosis),chronic bronchitis (diagnosis)
C0004096,related_to,C0024117,asthma (diagnosis),Chronic obstructive bronchopneumopathy
C0004096,finding_site_of,C0006255,asthma (diagnosis),Bronchial trunk
C0004096,finding_site_of,C0024109,asthma (diagnosis),"Structure of lungs, unspecified"
C0004096,associated_morphology_of,C0028778,asthma (diagnosis),Obstruction (morphologic abnormality)
C0004096,finding_site_of,C0458827,asthma (diagnosis),Airway structure (body structure)
C0004096,inverse_isa,C0024115,asthma (diagnosis),pulmonary disease (diagnosis)
C0004096,inverse_isa,C0035204,asthma (diagnosis),Diseases of the respiratory system (J00-J99)
C0004096,has_associated_finding,C0455544,asthma (diagnosis),H/O: asthma (situation)
C0004096,inverse_isa,C0746102,asthma (diagnosis),Chronic lung disease (disorder)
C0004096,is_associated_anatomic_site_of,C0024109,asthma (diagnosis),"Structure of lungs, unspecified"
C0004096,nichd_parent_of,C0035204,asthma (diagnosis),Diseases of the respiratory system (J00-J99)
C0004096,is_associated_anatomic_site_of,C0230139,asthma (diagnosis),Cavity of thorax
C0004144,classified_as,C2721612,Collapse of lung (disorder),Partial atelectasis
C0004144,co-occurs_with,C0006267,Collapse of lung (disorder),bronchiectasis (diagnosis)
C0004144,ddx,C0032285,Collapse of lung (disorder),pneumonia (diagnosis)
C0004144,ddx,C0747636,Collapse of lung (disorder),PLEURAL EFFUSION CHRONIC
C0004144,clinically_similar,C0264494,Collapse of lung (disorder),Discoid atelectasis (disorder)
C0004144,clinically_similar,C0264495,Collapse of lung (disorder),Linear atelectasis (disorder)
C0004144,clinically_similar,C0264496,Collapse of lung (disorder),Focal atelectasis (disorder)
C0004144,clinically_similar,C0264497,Collapse of lung (disorder),Complete atelectasis (disorder)
C0004144,clinically_similar,C0264498,Collapse of lung (disorder),Obstructive atelectasis (disorder)
C0004144,clinically_similar,C0264499,Collapse of lung (disorder),Compression atelectasis (disorder)
C0004144,clinically_similar,C0340074,Collapse of lung (disorder),Postoperative atelectasis (disorder)
C0004144,mapped_to,C0264494,Collapse of lung (disorder),Discoid atelectasis (disorder)
C0004144,mapped_to,C0264495,Collapse of lung (disorder),Linear atelectasis (disorder)
C0004144,mapped_to,C0264496,Collapse of lung (disorder),Focal atelectasis (disorder)
C0004144,mapped_to,C0264497,Collapse of lung (disorder),Complete atelectasis (disorder)
C0004144,mapped_to,C0264498,Collapse of lung (disorder),Obstructive atelectasis (disorder)
C0004144,mapped_to,C0264499,Collapse of lung (disorder),Compression atelectasis (disorder)
C0004144,mapped_to,C0340074,Collapse of lung (disorder),Postoperative atelectasis (disorder)
C0004144,mapped_to,C1290342,Collapse of lung (disorder),Acute atelectasis (disorder)
C0004144,mapped_to,C1290343,Collapse of lung (disorder),Chronic atelectasis (disorder)
C0004144,location_of,C0024109,Collapse of lung (disorder),"Structure of lungs, unspecified"
C0004144,related_to,C0024115,Collapse of lung (disorder),pulmonary disease (diagnosis)
C0004144,related_to,C0032226,Collapse of lung (disorder),PLEURAL DIS
C0004144,related_to,C0039980,Collapse of lung (disorder),Injuries to the thorax (S20-S29)
C0004144,mapped_from,C0032326,Collapse of lung (disorder),free air in the chest outside the lung
C0004144,inverse_isa,C4021760,Collapse of lung (disorder),Unusal lung shape
C0004144,classifies,C0032326,Collapse of lung (disorder),free air in the chest outside the lung
C0004144,isa,C0264494,Collapse of lung (disorder),Discoid atelectasis (disorder)
C0004144,isa,C0264495,Collapse of lung (disorder),Linear atelectasis (disorder)
C0004144,isa,C0264496,Collapse of lung (disorder),Focal atelectasis (disorder)
C0004144,isa,C0264497,Collapse of lung (disorder),Complete atelectasis (disorder)
C0004144,isa,C0264498,Collapse of lung (disorder),Obstructive atelectasis (disorder)
C0004144,isa,C0264499,Collapse of lung (disorder),Compression atelectasis (disorder)
C0004144,isa,C0340074,Collapse of lung (disorder),Postoperative atelectasis (disorder)
C0004144,isa,C1290342,Collapse of lung (disorder),Acute atelectasis (disorder)
C0004144,isa,C1290343,Collapse of lung (disorder),Chronic atelectasis (disorder)
C0004144,inverse_isa,C0024115,Collapse of lung (disorder),pulmonary disease (diagnosis)
C0004144,inverse_isa,C0577916,Collapse of lung (disorder),lesion; pulmonary
C0004144,finding_site_of,C0024109,Collapse of lung (disorder),"Structure of lungs, unspecified"
C0004144,associated_morphology_of,C0332521,Collapse of lung (disorder),mechanical collapse
C0004144,inverse_isa,C0746102,Collapse of lung (disorder),Chronic lung disease (disorder)
C0004144,is_associated_anatomic_site_of,C0024109,Collapse of lung (disorder),"Structure of lungs, unspecified"
C0004144,nichd_parent_of,C0035204,Collapse of lung (disorder),Diseases of the respiratory system (J00-J99)
C0004144,is_associated_anatomic_site_of,C0230139,Collapse of lung (disorder),Cavity of thorax
C0004153,clinically_associated_with,C1565489,Atherosclerosis (disorder),renal insufficiency (diagnosis)
C0004153,associated_with,C0027051,Atherosclerosis (disorder),mies
C0004153,clinically_associated_with,C0746592,Atherosclerosis (disorder),annulus calcification mitral
C0004153,has_associated_morphology,C0151744,Atherosclerosis (disorder),Ischemic heart diseases (I20-I25)
C0004153,has_associated_morphology,C0392464,Atherosclerosis (disorder),ventricular aneurysm (diagnosis)
C0004153,has_associated_morphology,C0519097,Atherosclerosis (disorder),aneurysm of left ventricle
C0004153,related_to,C0027051,Atherosclerosis (disorder),mies
C0004153,related_to,C0038454,Atherosclerosis (disorder),CVA - cerebrovascular accident (& unspecified [& stroke]) (disorder)
C0004286,method_of,C1261322,Audiometry (procedure),Inv
C0004454,mapped_from,C0153661,Structure of axillary fossa,malignant tumor of ill-defined site of thorax
C0004454,isa,C0931825,Structure of axillary fossa,Right axillary fossa
C0004454,isa,C0935377,Structure of axillary fossa,Left axillary fossa
C0004454,isa,C0230337,Structure of axillary fossa,Structure of right axillary region (body structure)
C0004454,isa,C0230338,Structure of axillary fossa,Structure of left axillary region (body structure)
C0004454,isa,C0004456,Structure of axillary fossa,Structure of axillary vein (body structure)
C0004454,isa,C0230336,Structure of axillary fossa,Structure of axillary soft tissues (body structure)
C0004454,sib_in_part_of,C0004456,Structure of axillary fossa,Structure of axillary vein (body structure)
C0004454,sib_in_part_of,C0008913,Structure of axillary fossa,collarbone
C0004454,sib_in_part_of,C0038291,Structure of axillary fossa,Sternoclavicular joint structure (body structure)
C0004454,sib_in_part_of,C0085515,Structure of axillary fossa,tendon of the shoulder joint
C0004456,has_tributary,C0038532,Structure of axillary vein (body structure),Structure of subclavian vein (body structure)
C0004456,sib_in_part_of,C0004454,Structure of axillary vein (body structure),Structure of axillary fossa
C0004456,sib_in_part_of,C0008913,Structure of axillary vein (body structure),collarbone
C0004456,sib_in_part_of,C0038291,Structure of axillary vein (body structure),Sternoclavicular joint structure (body structure)
C0004456,sib_in_part_of,C0085515,Structure of axillary vein (body structure),tendon of the shoulder joint
C0004456,isa,C1182893,Structure of axillary vein (body structure),Axillary venous tributary
C0004456,inverse_isa,C0004454,Structure of axillary vein (body structure),Structure of axillary fossa
C0004456,inverse_isa,C0042449,Structure of axillary vein (body structure),Venous subtree
C0004526,has_part,C0025066,Structure of azygous vein (body structure),Mediastinal (qualifier value)
C0004526,sib_in_part_of,C0006094,Structure of azygous vein (body structure),[SO]Innominate artery
C0004526,sib_in_isa,C0006095,Structure of azygous vein (body structure),Structure of brachiocephalic vein (body structure)
C0004526,sib_in_tributary_of,C0006095,Structure of azygous vein (body structure),Structure of brachiocephalic vein (body structure)
C0004526,sib_in_part_of,C0018787,Structure of azygous vein (body structure),"Structure of heart, unspecified"
C0004526,sib_in_part_of,C0031050,Structure of azygous vein (body structure),Pericardial structure (body structure)
C0004526,sib_in_part_of,C0034052,Structure of azygous vein (body structure),Pulmonary arterial subtree
C0004526,sib_in_part_of,C0042459,Structure of azygous vein (body structure),Superior vena cava structure (body structure)
C0004526,sib_in_part_of,C0226054,Structure of azygous vein (body structure),Right pulmonary arterial trunk
C0004526,sib_in_part_of,C0226069,Structure of azygous vein (body structure),Left pulmonary arterial trunk
C0004526,sib_in_isa,C0226646,Structure of azygous vein (body structure),Venae mediastinales
C0004526,sib_in_part_of,C0227188,Structure of azygous vein (body structure),Pars thoracica oesophageae
C0004526,sib_in_part_of,C0230148,Structure of azygous vein (body structure),prevascular space
C0004526,sib_in_part_of,C1261316,Structure of azygous vein (body structure),Right coronary artery structure (body structure)
C0004526,inverse_isa,C0042449,Structure of azygous vein (body structure),Venous subtree
C0004526,direct_right_of,C0225706,Structure of azygous vein (body structure),Right lung structure
C0004526,medial_to,C0225706,Structure of azygous vein (body structure),Right lung structure
C0004604,clinically_associated_with,C0008031,back ache (diagnosis),thoracodynia
C0004604,ssc,C0008031,back ache (diagnosis),thoracodynia
C0004604,co-occurs_with,C0015967,back ache (diagnosis),rndx hyperthermia
C0004604,ssc,C0015967,back ache (diagnosis),rndx hyperthermia
C0004604,co-occurs_with,C0029408,back ache (diagnosis),Osteoarthritis (M15-M19)
C0004604,clinically_associated_with,C0032285,back ache (diagnosis),pneumonia (diagnosis)
C0004604,related_to,C0030193,back ache (diagnosis),rndx unspecified pain
C0004604,finding_site_of,C0460005,back ache (diagnosis),trunk [body]
C0004604,definitional_manifestation_of,C0030193,back ache (diagnosis),rndx unspecified pain
C0004604,inverse_isa,C0008031,back ache (diagnosis),thoracodynia
C0004604,inverse_isa,C0030193,back ache (diagnosis),rndx unspecified pain
C0004604,finding_site_of,C0549207,back ache (diagnosis),Bone tissue of vertebra
C0004604,finding_site_of,C0581269,back ache (diagnosis),T Spine
C0004604,nichd_parent_of,C0030193,back ache (diagnosis),rndx unspecified pain
C0004604,finding_site_of,C1995000,back ache (diagnosis),"Back structure, excluding neck (body structure)"
C0004623,associated_with,C0008148,bacterial infection (diagnosis),chlamydia bacteria
C0004623,associated_with,C0026919,bacterial infection (diagnosis),atypical mycobacterial infection (diagnosis)
C0004623,isa,C0026936,bacterial infection (diagnosis),"Disease caused by Mycoplasma, NOS (disorder)"
C0004623,isa,C0038160,bacterial infection (diagnosis),staphylococcus bacteria infection
C0004623,co-occurs_with,C0243026,bacterial infection (diagnosis),Infectious systemic inflammatory response syndrome (disorder)
C0004623,related_to,C0026918,bacterial infection (diagnosis),mycobacterial infection (diagnosis)
C0004623,related_to,C0038160,bacterial infection (diagnosis),staphylococcus bacteria infection
C0004623,related_to,C0041296,bacterial infection (diagnosis),Tuberculosis (A15-A19)
C0004623,related_to,C0243026,bacterial infection (diagnosis),Infectious systemic inflammatory response syndrome (disorder)
C0004623,pathological_process_of,C0745283,bacterial infection (diagnosis),Infectious process (qualifier value)
C0004623,isa,C0004626,bacterial infection (diagnosis),bacterial pneumonia (diagnosis)
C0004623,isa,C0026918,bacterial infection (diagnosis),mycobacterial infection (diagnosis)
C0004623,possibly_equivalent_to,C0026936,bacterial infection (diagnosis),"Disease caused by Mycoplasma, NOS (disorder)"
C0004623,inverse_isa,C3714514,bacterial infection (diagnosis),Infection (disorder)
C0004623,classified_as,C0004626,bacterial infection (diagnosis),bacterial pneumonia (diagnosis)
C0004623,classified_as,C0023241,bacterial infection (diagnosis),Legionnaire's disease (diagnosis)
C0004623,classified_as,C0026918,bacterial infection (diagnosis),mycobacterial infection (diagnosis)
C0004623,classified_as,C0032302,bacterial infection (diagnosis),Mycoplasma pneumonia (diagnosis)
C0004623,isa,C0041327,bacterial infection (diagnosis),"Pulmonary tuberculosis, unspecified, unspecified"
C0004623,inverse_isa,C0578491,bacterial infection (diagnosis),Infection by site (disorder)
C0004623,has_nichd_parent,C0032302,bacterial infection (diagnosis),Mycoplasma pneumonia (diagnosis)
C0004623,has_nichd_parent,C0041296,bacterial infection (diagnosis),Tuberculosis (A15-A19)
C0004623,has_nichd_parent,C1609538,bacterial infection (diagnosis),"Tuberculosis Infection, Latent"
C0004623,nichd_parent_of,C3714514,bacterial infection (diagnosis),Infection (disorder)
C0004626,associated_with,C0032285,bacterial pneumonia (diagnosis),pneumonia (diagnosis)
C0004626,associated_with,C0021368,bacterial pneumonia (diagnosis),INFLAMM
C0004626,location_of,C0024109,bacterial pneumonia (diagnosis),"Structure of lungs, unspecified"
C0004626,mapped_to,C1412002,bacterial pneumonia (diagnosis),Atypical pneumonia (disorder)
C0004626,isa,C0023241,bacterial pneumonia (diagnosis),Legionnaire's disease (diagnosis)
C0004626,inverse_isa,C0032285,bacterial pneumonia (diagnosis),pneumonia (diagnosis)
C0004626,ddx,C0021400,bacterial pneumonia (diagnosis),flus
C0004626,clinically_associated_with,C0024117,bacterial pneumonia (diagnosis),Chronic obstructive bronchopneumopathy
C0004626,clinically_associated_with,C0032285,bacterial pneumonia (diagnosis),pneumonia (diagnosis)
C0004626,clinically_associated_with,C0032290,bacterial pneumonia (diagnosis),aspiration pneumonia (diagnosis)
C0004626,clinically_associated_with,C0032739,bacterial pneumonia (diagnosis),Tuberculosis skin test positive
C0004626,clinically_associated_with,C0041296,bacterial pneumonia (diagnosis),Tuberculosis (A15-A19)
C0004626,co-occurs_with,C0041296,bacterial pneumonia (diagnosis),Tuberculosis (A15-A19)
C0004626,clinically_associated_with,C0242379,bacterial pneumonia (diagnosis),malignant neoplasm of lung (diagnosis)
C0004626,clinically_associated_with,C0243026,bacterial pneumonia (diagnosis),Infectious systemic inflammatory response syndrome (disorder)
C0004626,clinically_associated_with,C0278061,bacterial pneumonia (diagnosis),Altered mental status (finding)
C0004626,ddx,C1535939,bacterial pneumonia (diagnosis),PJP
C0004626,classifies,C0004623,bacterial pneumonia (diagnosis),bacterial infection (diagnosis)
C0004626,associated_morphology_of,C0021368,bacterial pneumonia (diagnosis),INFLAMM
C0004626,finding_site_of,C0024109,bacterial pneumonia (diagnosis),"Structure of lungs, unspecified"
C0004626,pathological_process_of,C0745283,bacterial pneumonia (diagnosis),Infectious process (qualifier value)
C0004626,inverse_isa,C0004623,bacterial pneumonia (diagnosis),bacterial infection (diagnosis)
C0004626,inverse_isa,C0149778,bacterial pneumonia (diagnosis),SOFT TISSUE INFECT
C0004626,inverse_isa,C0206061,bacterial pneumonia (diagnosis),Interstitial pneumonia (disorder)
C0004626,inverse_isa,C0206062,bacterial pneumonia (diagnosis),Diffuse parenchymal lung disease
C0004626,inverse_isa,C0729704,bacterial pneumonia (diagnosis),Infective pneumonia (disorder)
